playerKey,nameFirst,nameLast,weight,height,debut,BMI
1,Eddie,Gaedel,66,43,1951,24.71335857
2,Dummy,Leitner,120,67,1901,18.79260414
3,Candy,Cummings,120,69,1872,17.7189666
4,Yale,Murphy,125,63,1894,22.14033762
5,Pat,Ankenman,125,64,1936,21.45385742
6,George,Paynter,125,69,1894,18.45725688
7,Johnny,Evers,125,69,1902,18.45725688
8,Tony,Madigan,126,65,1886,20.9652071
9,Dave,Birdsall,126,69,1871,18.60491493
10,Larry,Corcoran,127,63,1880,22.49458302
11,Dan,Coogan,128,68,1895,19.46020761
12,Doc,Gautreau,129,64,1925,22.14038086
13,Zeb,Terry,129,68,1916,19.61224048
14,Davy,Force,130,64,1871,22.31201172
15,Tommy,McMillan,130,65,1908,21.63076923
16,Barney,Gilligan,130,66,1875,20.98025712
17,Joe,Kostal,130,66,1896,20.98025712
18,Gene,Good,130,66,1906,20.98025712
19,Larry,McClure,130,66,1910,20.98025712
20,Jim,Snyder,130,67,1872,20.35865449
21,Kid,Madden,130,67,1887,20.35865449
22,Chub,Aubrey,130,67,1903,20.35865449
23,Gene,Moriarty,130,68,1884,19.76427336
24,Con,Murphy,130,69,1884,19.19554715
25,Pete,Falsey,132,66,1914,21.3030303
26,Otis,Lawry,133,68,1916,20.22037197
27,Jose,Acosta,134,66,1920,21.62580349
28,Stubby,Magner,135,63,1911,23.91156463
29,Bobby,Mitchell,135,65,1877,22.46272189
30,Martin,Duke,135,65,1891,22.46272189
31,Matt,Broderick,135,66,1903,21.78719008
32,Dan,McGeehan,135,66,1911,21.78719008
33,Buck,Danner,135,66,1915,21.78719008
34,Doc,Wallace,135,66,1919,21.78719008
35,Tom,Poorman,135,67,1880,21.14167966
36,Jim,Devlin,135,67,1886,21.14167966
37,Billy,Otterson,135,67,1887,21.14167966
38,Thorny,Hawkes,135,68,1879,20.52443772
39,George,Noftsker,135,68,1884,20.52443772
40,Fred,Crane,135,69,1873,19.93383743
41,Tom,Evers,135,69,1882,19.93383743
42,Joe,Evers,135,69,1913,19.93383743
43,Bob,Meinke,135,70,1910,19.36836735
44,Ben,Conroy,136,66,1890,21.94857668
45,Ducky,Hemp,136,67,1887,21.2982847
46,Shadow,Pyle,136,68,1884,20.67647059
47,Wes,Fisler,137,66,1871,22.10996327
48,Nat,Jewett,137,69,1872,20.22915354
49,Cub,Stricker,138,63,1882,24.44293273
50,Jackie,Tavener,138,65,1921,22.96189349
51,Andy,Oyler,138,66,1902,22.27134986
52,John,Kane,138,66,1907,22.27134986
53,Mike,McGeary,138,67,1871,21.61149476
54,Bob,Caruthers,138,67,1884,21.61149476
55,Edward,Beavens,138,68,1871,20.98053633
56,Harry,Bay,138,68,1901,20.98053633
57,Joe,Bean,138,68,1902,20.98053633
58,George,Carman,139,64,1890,23.85668945
59,Bobby,Shantz,139,66,1949,22.43273646
60,Yo-Yo,Davalillo,140,63,1953,24.79717813
61,Charlie,Baker,140,64,1884,24.02832031
62,Willie,Keeler,140,64,1892,24.02832031
63,Frank,Morrissey,140,64,1901,24.02832031
64,Jesse,Baker,140,64,1919,24.02832031
65,Bobby,Mathews,140,65,1871,23.29467456
66,Sam,Shaw,140,65,1888,23.29467456
67,Jesse,Purnell,140,65,1904,23.29467456
68,Jap,Barbeau,140,65,1905,23.29467456
69,Cliff,Brady,140,65,1920,23.29467456
70,Albie,Pearson,140,65,1958,23.29467456
71,Harry,Berthrong,140,66,1871,22.59412305
72,Ned,Cuthbert,140,66,1871,22.59412305
73,John,Radcliff,140,66,1871,22.59412305
74,Tom,Berry,140,66,1871,22.59412305
75,Buttercup,Dickerson,140,66,1878,22.59412305
76,Kid,Butler,140,66,1884,22.59412305
77,Herman,Pitz,140,66,1890,22.59412305
78,Charles,Yingling,140,66,1894,22.59412305
79,Miller,Huggins,140,66,1904,22.59412305
80,Elmer,Stricklett,140,66,1904,22.59412305
81,Bill,Lauterborn,140,66,1904,22.59412305
82,Pembroke,Finlayson,140,66,1908,22.59412305
83,Donie,Bush,140,66,1908,22.59412305
84,Charlie,French,140,66,1909,22.59412305
85,Al,Pratt,140,67,1871,21.92470483
86,Clipper,Flynn,140,67,1871,21.92470483
87,George,Fair,140,67,1876,21.92470483
88,John,Shoup,140,67,1879,21.92470483
89,Dick,Burns,140,67,1883,21.92470483
90,George,Daisy,140,67,1884,21.92470483
91,Dick,Conway,140,67,1886,21.92470483
92,Bill,Daley,140,67,1889,21.92470483
93,Win,Mercer,140,67,1894,21.92470483
94,Lee,DeMontreville,140,67,1903,21.92470483
95,Merito,Acosta,140,67,1913,21.92470483
96,Ike,Davis,140,67,1919,21.92470483
97,Ray,Flaskamper,140,67,1927,21.92470483
98,Lou,Bierbauer,140,68,1886,21.28460208
99,Jim,Duncan,140,68,1899,21.28460208
100,Nick,Carter,140,68,1908,21.28460208
101,Earle,Mack,140,68,1910,21.28460208
102,Ken,Nash,140,68,1912,21.28460208
103,Patsy,McGaffigan,140,68,1917,21.28460208
104,Waddy,MacPhee,140,68,1922,21.28460208
105,Joe,Bratcher,140,68,1924,21.28460208
106,Barney,Koch,140,68,1944,21.28460208
107,Count,Gedney,140,69,1872,20.6721277
108,Joe,Borden,140,69,1875,20.6721277
109,Doug,Crothers,140,69,1884,20.6721277
110,Ed,Sixsmith,140,69,1884,20.6721277
111,George,Winkelman,140,69,1886,20.6721277
112,Bill,Coughlin,140,69,1899,20.6721277
113,Sandy,Alomar,140,69,1964,20.6721277
114,Jim,Reilly,140,70,1885,20.08571429
115,Jerry,Browne,140,70,1986,20.08571429
116,Jose,Escobar,140,70,1991,20.08571429
117,Tom,Smith,141,68,1875,21.43663495
118,Frank,Beck,141,69,1884,20.81978576
119,Doug,Neff,141,69,1914,20.81978576
120,Jess,Cortazzo,142,63,1923,25.15142353
121,Trick,McSorley,142,64,1875,24.37158203
122,Leo,Smith,142,66,1890,22.91689624
123,George,Hall,142,67,1871,22.2379149
124,Ed,Pinkham,142,67,1871,22.2379149
125,Dave,Pierson,142,67,1876,22.2379149
126,Bill,Wise,142,67,1882,22.2379149
127,Fred,O'Neill,142,67,1887,22.2379149
128,John,Wood,142,67,1896,22.2379149
129,Ed,Conley,142,68,1884,21.58866782
130,Leo,Callahan,142,68,1913,21.58866782
131,Jack,Tobin,142,68,1914,21.58866782
132,Pete,LePine,142,70,1902,20.37265306
133,Al,Schacht,142,71,1919,19.8028169
134,Jim,Miller,143,64,1901,24.54321289
135,Jocko,Flynn,143,66,1886,23.07828283
136,Tom,Patterson,143,67,1871,22.39451994
137,Henry,Lynch,143,67,1893,22.39451994
138,Charlie,Fisher,143,68,1884,21.74070069
139,Buddy,Dear,143,68,1927,21.74070069
140,Harry,Schafer,143,69,1871,21.11510187
141,Hervey,McClellan,143,69,1919,21.11510187
142,Joe,Burg,143,70,1910,20.51612245
143,Tommy,Beals,144,65,1871,23.96023669
144,Jimmy,Slagle,144,67,1899,22.55112497
145,Moxie,Hengel,144,68,1884,21.89273356
146,Houston,Jimenez,144,68,1983,21.89273356
147,Joe,Cassidy,144,69,1904,21.26275992
148,Henry,Kessler,144,70,1873,20.65959184
149,George,Milstead,144,70,1924,20.65959184
150,Tom,Morrison,145,63,1895,25.68279164
151,Hugh,Nicol,145,64,1881,24.88647461
152,Kid,Mohler,145,64,1894,24.88647461
153,Ernie,Oravetz,145,64,1955,24.88647461
154,Pat,Deisel,145,65,1902,24.12662722
155,Lou,Bruce,145,65,1904,24.12662722
156,Frank,Browning,145,65,1910,24.12662722
157,Ike,Kahdot,145,65,1922,24.12662722
158,George,Hausmann,145,65,1944,24.12662722
159,Candy,Nelson,145,66,1872,23.40105601
160,Harry,Arundel,145,66,1875,23.40105601
161,Doggie,Miller,145,66,1884,23.40105601
162,Henry,Easterday,145,66,1884,23.40105601
163,Charlie,Bastian,145,66,1884,23.40105601
164,Tony,Murphy,145,66,1884,23.40105601
165,Stub,Smith,145,66,1898,23.40105601
166,Jim,Cockman,145,66,1905,23.40105601
167,Eddie,Foster,145,66,1910,23.40105601
168,Arnold,Hauser,145,66,1910,23.40105601
169,Danny,Mahoney,145,66,1911,23.40105601
170,Ed,Mensor,145,66,1912,23.40105601
171,Charlie,Hanford,145,66,1914,23.40105601
172,Dan,Sherman,145,66,1914,23.40105601
173,Ed,Murray,145,66,1917,23.40105601
174,Ed,Wingo,145,66,1920,23.40105601
175,Pete,Turgeon,145,66,1923,23.40105601
176,Jim,Begley,145,66,1924,23.40105601
177,Lynn,Myers,145,66,1938,23.40105601
178,Bill,Lennon,145,67,1871,22.70773001
179,Lou,Say,145,67,1873,22.70773001
180,John,Dailey,145,67,1875,22.70773001
181,George,Keerl,145,67,1875,22.70773001
182,George,Seward,145,67,1875,22.70773001
183,Emmett,Seery,145,67,1884,22.70773001
184,George,Moolic,145,67,1886,22.70773001
185,Joe,Yingling,145,67,1886,22.70773001
186,Frank,Scheibeck,145,67,1887,22.70773001
187,Phil,Geier,145,67,1896,22.70773001
188,Mike,Roach,145,67,1899,22.70773001
189,Bill,Cristall,145,67,1901,22.70773001
190,Fred,Holmes,145,67,1903,22.70773001
191,Bill,Shipke,145,67,1906,22.70773001
192,Bobby,Byrne,145,67,1907,22.70773001
193,Neal,Ball,145,67,1907,22.70773001
194,Howard,Fahey,145,67,1912,22.70773001
195,Dallas,Bradshaw,145,67,1917,22.70773001
196,Jocko,Conlon,145,67,1923,22.70773001
197,Joe,O'Rourke,145,67,1929,22.70773001
198,Sergio,Ferrer,145,67,1974,22.70773001
199,Tom,Carey,145,68,1871,22.04476644
200,Ross,Barnes,145,68,1871,22.04476644
201,Pat,Dealy,145,68,1884,22.04476644
202,Frank,Dwyer,145,68,1888,22.04476644
203,Marty,Hogan,145,68,1894,22.04476644
204,Mike,McDermott,145,68,1895,22.04476644
205,Larry,Hesterfer,145,68,1901,22.04476644
206,Harry,Cassady,145,68,1904,22.04476644
207,Frank,Truesdale,145,68,1910,22.04476644
208,Jack,Dalton,145,68,1910,22.04476644
209,Steve,Partenheimer,145,68,1913,22.04476644
210,Jack,Farrell,145,68,1914,22.04476644
211,Chick,Davies,145,68,1914,22.04476644
212,Paul,Speraw,145,68,1920,22.04476644
213,Bud,Heine,145,68,1921,22.04476644
214,Tige,Stone,145,68,1923,22.04476644
215,Charlie,Engle,145,68,1925,22.04476644
216,Ray,Gardner,145,68,1929,22.04476644
217,Frank,Sellman,145,69,1871,21.41041798
218,Fred,Treacey,145,69,1871,21.41041798
219,Dick,Hunt,145,69,1872,21.41041798
220,Mother,Watson,145,69,1887,21.41041798
221,Frank,Pears,145,69,1889,21.41041798
222,Kohly,Miller,145,69,1892,21.41041798
223,Jim,Callahan,145,69,1902,21.41041798
224,Ken,Crawford,145,69,1915,21.41041798
225,Kenny,Hogan,145,69,1921,21.41041798
226,Spence,Harris,145,69,1925,21.41041798
227,Gus,Weyhing,145,70,1887,20.80306122
228,Dan,Minnehan,145,70,1895,20.80306122
229,Joe,Berry,145,70,1942,20.80306122
230,Max,Leon,145,70,1973,20.80306122
231,Manuel,Lee,145,70,1985,20.80306122
232,Mario,Diaz,145,70,1987,20.80306122
233,Charlie,Kalbfus,145,71,1884,20.22118627
234,Clyde,Goodwin,145,71,1906,20.22118627
235,Dale,Matthewson,145,71,1943,20.22118627
236,Luis,Castillo,145,71,1996,20.22118627
237,Wilton,Guerrero,145,71,1996,20.22118627
238,Wilson,Delgado,145,71,1996,20.22118627
239,Al,Braithwood,145,73,1915,19.12835429
240,Hank,Gornicki,145,73,1941,19.12835429
241,Chuck,Dressen,146,65,1925,24.29301775
242,Wally,Goldsmith,146,67,1871,22.86433504
243,Sam,Wright,146,67,1875,22.86433504
244,Heinie,Scheer,146,68,1922,22.19679931
245,Charlie,Eakle,146,69,1915,21.55807603
246,Marty,Swandell,146,70,1872,20.94653061
247,Zoilo,Versalles,146,70,1959,20.94653061
248,Monte,Pfeffer,147,64,1913,25.22973633
249,Kid,Baldwin,147,66,1884,23.7238292
250,Bert,Cunningham,147,66,1887,23.7238292
251,Mike,Herrera,147,66,1925,23.7238292
252,John,Kiley,147,67,1884,23.02094008
253,Henry,Burroughs,147,68,1871,22.34883218
254,Hank,Olmsted,147,68,1905,22.34883218
255,Bob,Berman,147,68,1918,22.34883218
256,Hughie,Critz,147,68,1924,22.34883218
257,Ted,Odenwald,147,70,1921,21.09
258,Duke,Reilley,148,64,1909,25.40136719
259,Dinty,Gearin,148,64,1923,25.40136719
260,Jim,Tipper,148,65,1872,24.62579882
261,John,Burns,148,65,1884,24.62579882
262,Freddie,Patek,148,65,1968,24.62579882
263,Paul,Radford,148,66,1883,23.88521579
264,Jim,Adams,148,66,1890,23.88521579
265,Bobby,Rothermel,148,66,1899,23.88521579
266,Rabbit,Robinson,148,66,1903,23.88521579
267,Jim,Stanley,148,66,1914,23.88521579
268,Ferd,Eunick,148,66,1917,23.88521579
269,Pete,Cote,148,66,1926,23.88521579
270,Fred,Waterman,148,67,1871,23.17754511
271,Phonney,Martin,148,67,1872,23.17754511
272,Jake,Knowdell,148,67,1874,23.17754511
273,Bob,Becker,148,67,1897,23.17754511
274,Max,Flack,148,67,1914,23.17754511
275,Marty,Shay,148,67,1916,23.17754511
276,Paddy,Quinn,148,68,1871,22.50086505
277,Al,Schellhase,148,68,1890,22.50086505
278,Monte,Cross,148,68,1892,22.50086505
279,Billy,Hulen,148,68,1896,22.50086505
280,Everett,Scott,148,68,1914,22.50086505
281,Wes,Kingdon,148,68,1932,22.50086505
282,William,Nusz,148,69,1884,21.85339214
283,Parson,Nicholson,148,69,1888,21.85339214
284,Dick,Crutcher,148,69,1914,21.85339214
285,Doug,Baird,148,69,1915,21.85339214
286,Charlie,Barber,148,70,1884,21.23346939
287,Mark,McGrillis,148,72,1892,20.07021605
288,Henry,Jones,149,66,1884,24.04660239
289,Lefty,Atkinson,149,66,1927,24.04660239
290,Orie,Kerlin,149,67,1915,23.33415014
291,Terry,Turner,149,68,1901,22.65289792
292,Harry,Pattee,149,68,1908,22.65289792
293,Bobby,Stevens,149,68,1931,22.65289792
294,Bob,Ferguson,149,69,1871,22.0010502
295,Tom,Cotter,149,70,1891,21.37693878
296,Monk,Cline,150,64,1882,25.74462891
297,Reuben,Ewing,150,64,1921,25.74462891
298,Fred,Wood,150,65,1884,24.95857988
299,Herbie,Moran,150,65,1908,24.95857988
300,Jimmie,Savage,150,65,1912,24.95857988
301,Angel,Aragon,150,65,1914,24.95857988
302,George,Stutz,150,65,1926,24.95857988
303,Buster,Chatham,150,65,1930,24.95857988
304,Nick,Tremark,150,65,1934,24.95857988
305,John,Bass,150,66,1871,24.20798898
306,Joe,Quest,150,66,1871,24.20798898
307,Ed,Kennedy,150,66,1883,24.20798898
308,Bill,Mountjoy,150,66,1883,24.20798898
309,Daisy,Davis,150,66,1884,24.20798898
310,Gene,Vadeboncoeur,150,66,1884,24.20798898
311,Jim,Banning,150,66,1888,24.20798898
312,Henry,Jones,150,66,1890,24.20798898
313,Gus,Creely,150,66,1890,24.20798898
314,Joe,Walsh,150,66,1891,24.20798898
315,Herm,McFarland,150,66,1896,24.20798898
316,Tommy,Leach,150,66,1898,24.20798898
317,Birdie,Cree,150,66,1908,24.20798898
