"","nameFirst","nameLast","weight","height","debut","BMI"
"1","Jon","Rauch",290,83,2002,30.30918856
"2","Andy","Sisco",270,82,2005,28.91136228
"3","Chris","Young",255,82,2004,27.30517549
"4","Eric","Hillman",235,82,1992,25.1635931
"5","Andrew","Brackman",230,82,2011,24.6281975
"6","Randy","Johnson",225,82,1988,24.0928019
"7","Jeff","Niemann",285,81,2008,31.27572016
"8","Kam","Mickolio",255,81,2008,27.98353909
"9","John","Holdzkom",245,81,2014,26.8861454
"10","Mark","Hendrickson",240,81,2002,26.33744856
"11","Terry","Bross",234,81,1991,25.67901235
"12","Johnny","Gee",225,81,1939,24.69135802
"13","Alex","Meyer",225,81,2015,24.69135802
"14","Adam","Russell",280,80,2008,31.5
"15","Sean","West",275,80,2009,30.9375
"16","Dellin","Betances",265,80,2011,29.8125
"17","Jason","Hirsh",250,80,2006,28.125
"18","Nate","Freiman",250,80,2013,28.125
"19","Stefan","Wever",245,80,1982,27.5625
"20","Kameron","Loe",245,80,2004,27.5625
"21","Phil","Stockman",240,80,2006,27
"22","Michael","Schwimer",240,80,2011,27
"23","Mark","Acre",235,80,1994,26.4375
"24","Darren","Clarke",235,80,2007,26.4375
"25","Kyle","Snyder",230,80,2003,25.875
"26","Chris","Volstad",230,80,2008,25.875
"27","Logan","Ondrusek",230,80,2010,25.875
"28","Mike","Naymick",225,80,1939,25.3125
"29","Gene","Conley",225,80,1952,25.3125
"30","Lee","Guetterman",225,80,1984,25.3125
"31","Jeff","Nelson",225,80,1992,25.3125
"32","Graeme","Lloyd",225,80,1993,25.3125
"33","Nate","Minchey",225,80,1993,25.3125
"34","J. R.","Richard",222,80,1971,24.975
"35","Steve","Ellsworth",220,80,1988,24.75
"36","Mike","Smithson",215,80,1982,24.1875
"37","Chris","Martin",215,80,2014,24.1875
"38","Joe","Vitko",210,80,1992,23.625
"39","Doug","Fister",210,80,2009,23.625
"40","Tony","Clark",205,80,1995,23.0625
"41","Billy","Taylor",200,80,1994,22.5
"42","CC","Sabathia",285,79,2001,32.87934626
"43","Elvis","Araujo",270,79,2015,31.14885435
"44","Aaron","Harang",260,79,2002,29.99519308
"45","Franklyn","German",260,79,2002,29.99519308
"46","Michael","Pineda",260,79,2011,29.99519308
"47","Phil","Klein",260,79,2014,29.99519308
"48","Steven","Moya",260,79,2014,29.99519308
"49","Frank","Howard",255,79,1958,29.41836244
"50","Chuck","Malone",250,79,1990,28.84153181
"51","Jeff","D'Amico",250,79,1996,28.84153181
"52","Josh","Johnson",250,79,2005,28.84153181
"53","Brian","Flynn",250,79,2013,28.84153181
"54","Buddy","Harris",245,79,1970,28.26470117
"55","Jeff","Juden",245,79,1991,28.26470117
"56","Blake","Beavan",245,79,2011,28.26470117
"57","Dane","De La Rosa",245,79,2011,28.26470117
"58","Jared","Hughes",245,79,2011,28.26470117
"59","Tim","Birtsas",240,79,1985,27.68787053
"60","Scott","Elarton",240,79,1998,27.68787053
"61","Mike","Pelfrey",240,79,2006,27.68787053
"62","Phillippe","Aumont",240,79,2012,27.68787053
"63","Duke","Welker",240,79,2013,27.68787053
"64","Bobby","Munoz",237,79,1993,27.34177215
"65","Slim","McGrew",235,79,1922,27.1110399
"66","Derek","Aucoin",235,79,1996,27.1110399
"67","Brian","Falkenborg",235,79,1999,27.1110399
"68","Adam","Wainwright",235,79,2005,27.1110399
"69","Johnny","Hellweg",235,79,2013,27.1110399
"70","John","Candelaria",230,79,1975,26.53420926
"71","Tim","Stoddard",230,79,1975,26.53420926
"72","Ben","Callahan",230,79,1983,26.53420926
"73","Dennis","Rasmussen",230,79,1983,26.53420926
"74","Jerry","Spradlin",230,79,1993,26.53420926
"75","Desi","Wilson",230,79,1996,26.53420926
"76","Damon","Minor",230,79,2000,26.53420926
"77","Troy","Mattes",230,79,2001,26.53420926
"78","Ben","Diggins",230,79,2002,26.53420926
"79","Aaron","Taylor",230,79,2002,26.53420926
"80","Anthony","Ranaudo",230,79,2014,26.53420926
"81","Walt","Bond",228,79,1960,26.30347701
"82","Ron","Jackson",225,79,1954,25.95737863
"83","Rich","Gale",225,79,1978,25.95737863
"84","Ryan","Minor",225,79,1998,25.95737863
"85","Rick","Heiserman",225,79,1999,25.95737863
"86","Daniel","Cabrera",225,79,2004,25.95737863
"87","Sean","Marshall",225,79,2006,25.95737863
"88","Joel","Guzman",225,79,2006,25.95737863
"89","Greg","Reynolds",225,79,2008,25.95737863
"90","Scott","Patterson",225,79,2008,25.95737863
"91","Ed","Halicki",220,79,1974,25.38054799
"92","Peter","Hoy",220,79,1992,25.38054799
"93","Billy","Ashley",220,79,1992,25.38054799
"94","John","Ericks",220,79,1995,25.38054799
"95","Bill","Hurst",220,79,1996,25.38054799
"96","Nate","Teut",220,79,2002,25.38054799
"97","Brandon","McCarthy",220,79,2005,25.38054799
"98","Scott","Feldman",220,79,2005,25.38054799
"99","Mike","Schultz",220,79,2007,25.38054799
"100","Trystan","Magnuson",220,79,2011,25.38054799
"101","Stu","Pomeranz",220,79,2012,25.38054799
"102","Michael","Tonkin",220,79,2013,25.38054799
"103","Dick","Ricketts",215,79,1959,24.80371735
"104","Bill","Davis",215,79,1965,24.80371735
"105","Bob","Chlupsa",215,79,1970,24.80371735
"106","Jim","McKee",215,79,1972,24.80371735
"107","Rick","Sutcliffe",215,79,1976,24.80371735
"108","John","Davis",215,79,1987,24.80371735
"109","Bob","Scanlan",215,79,1991,24.80371735
"110","Jim","Pittsley",215,79,1995,24.80371735
"111","Willie","Adams",215,79,1996,24.80371735
"112","Tom","Davey",215,79,1999,24.80371735
"113","Dustin","Nippert",215,79,2005,24.80371735
"114","T. J.","Beam",215,79,2006,24.80371735
"115","Ben","McDonald",212,79,1989,24.45761897
"116","Tom","Parsons",210,79,1963,24.22688672
"117","John","Duffie",210,79,1967,24.22688672
"118","Rich","Bordi",210,79,1980,24.22688672
"119","Dave","Otto",210,79,1987,24.22688672
"120","Jeff","McCurry",210,79,1995,24.22688672
"121","Sean","Maloney",210,79,1997,24.22688672
"122","Blake","Stein",210,79,1998,24.22688672
"123","Eric","Eckenstahler",210,79,2002,24.22688672
"124","Ryan","Speier",210,79,2005,24.22688672
"125","Jered","Weaver",210,79,2006,24.22688672
"126","Andrew","Miller",210,79,2006,24.22688672
"127","George","Throop",205,79,1975,23.65005608
"128","Billy","Smith",200,79,1981,23.07322544
"129","Marvin","Freeman",200,79,1986,23.07322544
"130","Ben","Ford",200,79,1998,23.07322544
"131","Sam","Narron",200,79,2004,23.07322544
"132","Slim","Love",195,79,1913,22.49639481
"133","Jim","Dorsey",190,79,1980,21.91956417
"134","Mike","Witt",185,79,1981,21.34273354
"135","Dave","Pavlas",180,79,1990,20.7659029
"136","Adam","Dunn",285,78,2001,33.72781065
"137","Seth","McClung",280,78,2003,33.13609467
"138","Brad","Eldred",270,78,2005,31.95266272
"139","Humberto","Sanchez",270,78,2008,31.95266272
"140","Val","Pascucci",265,78,2004,31.36094675
"141","Alfredo","Simon",265,78,2008,31.36094675
"142","Kyle","Blanks",265,78,2009,31.36094675
"143","Seth","Rosin",265,78,2014,31.36094675
"144","Scott","Munter",260,78,2005,30.76923077
"145","Randy","Messenger",260,78,2005,30.76923077
"146","Justin","Masterson",260,78,2008,30.76923077
"147","Eddie","Kunz",260,78,2008,30.76923077
"148","Francis","Beltran",255,78,2002,30.17751479
"149","Colter","Bean",255,78,2005,30.17751479
"150","Willie","Smith",250,78,1994,29.58579882
"151","Steve","Rain",250,78,1999,29.58579882
"152","Kevin","Gregg",245,78,2003,28.99408284
"153","Ryan","Webb",245,78,2009,28.99408284
"154","Mat","Latos",245,78,2009,28.99408284
"155","Joe","Mahoney",245,78,2012,28.99408284
"156","Jimmy","Nelson",245,78,2013,28.99408284
"157","Mark","Hutton",240,78,1993,28.40236686
"158","Matt","Murray",240,78,1995,28.40236686
"159","Jamey","Wright",240,78,1996,28.40236686
"160","Guillermo","Mota",240,78,1999,28.40236686
"161","Ryan","Rupe",240,78,1999,28.40236686
"162","Alan","Newman",240,78,1999,28.40236686
"163","Michael","Restovich",240,78,2002,28.40236686
"164","Chris","Spurling",240,78,2003,28.40236686
"165","Jeremy","Griffiths",240,78,2003,28.40236686
"166","Corey","Hart",240,78,2004,28.40236686
"167","Jim","Johnson",240,78,2006,28.40236686
"168","Jose","Veras",240,78,2006,28.40236686
"169","Billy","Petrick",240,78,2007,28.40236686
"170","Aaron","Poreda",240,78,2009,28.40236686
"171","Giancarlo","Stanton",240,78,2010,28.40236686
"172","Zach","McAllister",240,78,2011,28.40236686
"173","Noah","Syndergaard",240,78,2015,28.40236686
"174","Paul","Martin",235,78,1955,27.81065089
"175","Dave","Frost",235,78,1977,27.81065089
"176","Andy","Benes",235,78,1989,27.81065089
"177","Jose","Silva",235,78,1996,27.81065089
"178","Roy","Smith",235,78,2001,27.81065089
"179","John","Lackey",235,78,2002,27.81065089
"180","Matt","Thornton",235,78,2004,27.81065089
"181","Adam","Loewen",235,78,2006,27.81065089
"182","John","Mayberry",235,78,2009,27.81065089
"183","Dan","Cortes",235,78,2010,27.81065089
"184","Michael","Crotta",235,78,2011,27.81065089
"185","Jonathan","Pettibone",235,78,2013,27.81065089
"186","Scott","Snodgress",235,78,2014,27.81065089
"187","Jim","Weaver",230,78,1928,27.21893491
"188","Dick","Radatz",230,78,1962,27.21893491
"189","Pete","Koegel",230,78,1970,27.21893491
"190","Mike","Poepping",230,78,1975,27.21893491
"191","Ed","Lynch",230,78,1980,27.21893491
"192","Brad","Lesley",230,78,1982,27.21893491
"193","Greg","Booker",230,78,1983,27.21893491
"194","Scott","Service",230,78,1988,27.21893491
"195","Derek","Lowe",230,78,1997,27.21893491
"196","Chris","Carpenter",230,78,1997,27.21893491
"197","B. J.","Ryan",230,78,1999,27.21893491
"198","Julio","Zuleta",230,78,2000,27.21893491
"199","Sean","Green",230,78,2006,27.21893491
"200","Andrew","Brown",230,78,2006,27.21893491
