nameFirst,nameLast,weight,height,debut,BMI
Jon,Rauch,290,83,2002,30.30918856
Andy,Sisco,270,82,2005,28.91136228
Chris,Young,255,82,2004,27.30517549
Eric,Hillman,235,82,1992,25.1635931
Andrew,Brackman,230,82,2011,24.6281975
Randy,Johnson,225,82,1988,24.0928019
Jeff,Niemann,285,81,2008,31.27572016
Kam,Mickolio,255,81,2008,27.98353909
John,Holdzkom,245,81,2014,26.8861454
Mark,Hendrickson,240,81,2002,26.33744856
Terry,Bross,234,81,1991,25.67901235
Johnny,Gee,225,81,1939,24.69135802
Alex,Meyer,225,81,2015,24.69135802
Adam,Russell,280,80,2008,31.5
Sean,West,275,80,2009,30.9375
Dellin,Betances,265,80,2011,29.8125
Jason,Hirsh,250,80,2006,28.125
Nate,Freiman,250,80,2013,28.125
Stefan,Wever,245,80,1982,27.5625
Kameron,Loe,245,80,2004,27.5625
Phil,Stockman,240,80,2006,27
Michael,Schwimer,240,80,2011,27
Mark,Acre,235,80,1994,26.4375
Darren,Clarke,235,80,2007,26.4375
Kyle,Snyder,230,80,2003,25.875
Chris,Volstad,230,80,2008,25.875
Logan,Ondrusek,230,80,2010,25.875
Mike,Naymick,225,80,1939,25.3125
Gene,Conley,225,80,1952,25.3125
Lee,Guetterman,225,80,1984,25.3125
Jeff,Nelson,225,80,1992,25.3125
Graeme,Lloyd,225,80,1993,25.3125
Nate,Minchey,225,80,1993,25.3125
J. R.,Richard,222,80,1971,24.975
Steve,Ellsworth,220,80,1988,24.75
Mike,Smithson,215,80,1982,24.1875
Chris,Martin,215,80,2014,24.1875
Joe,Vitko,210,80,1992,23.625
Doug,Fister,210,80,2009,23.625
Tony,Clark,205,80,1995,23.0625
Billy,Taylor,200,80,1994,22.5
CC,Sabathia,285,79,2001,32.87934626
Elvis,Araujo,270,79,2015,31.14885435
Aaron,Harang,260,79,2002,29.99519308
Franklyn,German,260,79,2002,29.99519308
Michael,Pineda,260,79,2011,29.99519308
Phil,Klein,260,79,2014,29.99519308
